Objects
30
,,Global Angle tSphere:tSphere,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.0834606,3.61253,0.0198704,-3034.98,162.131,83.7883
2,0,-0.0865303,3.61432,0.0204243,-3033,161.975,83.8917
3,0,-0.0882718,3.64026,0.023726,-3030.17,161.811,84.0554
4,0,-0.0908005,3.66776,0.0271626,-3027.28,161.655,84.2994
5,0,-0.106942,3.69993,0.0158889,-3023.51,161.562,84.6617
6,0,-0.108127,3.73103,0.021597,-3019.47,161.784,84.7534
7,0,-0.109715,3.77166,0.0175829,-3016.04,161.699,84.9941
8,0,-0.109271,3.80445,0.0162987,-3011.01,162.059,84.8511
9,0,-0.106017,3.85812,0.0109434,-3005.86,162.269,84.9614
10,0,-0.106574,3.95776,0.0104695,-2999.68,162.655,85.0772
11,0,-0.110051,3.98589,0.00349119,-2993.41,162.831,84.882
12,0,-0.113973,4.02208,0.00148642,-2985.93,162.672,84.6895
13,0,-0.117644,4.18171,0.0320564,-2976.94,162.525,85.0949
14,0,-0.112851,4.24074,0.0633246,-2966.64,161.645,85.5351
15,0,-0.139592,4.27364,0.0761755,-2957.4,160.349,85.4992
16,0,-0.158788,4.41446,0.111207,-2946.51,159.37,85.5911
17,0,-0.162418,4.44388,0.136275,-2933.97,158.592,85.634
18,0,-0.158096,4.48104,0.153171,-2920.77,158.402,85.5686
19,0,-0.205552,4.79199,0.209825,-2907.4,158.884,85.7983
20,0,-0.151011,4.82841,0.233091,-2890.75,159.866,85.3299
21
22,0,-0.121448,5.22365,0.202996,-2863.44,161.601,84.0043
23
24
25,0,0.229641,5.68156,0.217939,-2815.16,165.762,81.9635
26
27
28,0,2.49075,5.56146,1.01093,-2764.49,167.155,81.4268
29
30
31,0,-0.10909,3.59068,-0.106837,-2714.21,163.864,81.0033
32,0,-0.137465,3.69298,-0.0836315,-2697,162.116,80.9115
33
34,0,-0.192191,4.08949,-0.0129991,-2659.97,159.716,82.5725
35,0,-0.207443,4.156,-0.0099487,-2641.85,159.41,82.677
36,0,-0.251782,4.16276,-0.0578314,-2627.63,160.063,80.9517
37,0,-0.2428,4.64786,-0.0148566,-2604.09,161.441,82.2625
38,0,-0.201517,4.69176,-0.0325752,-2584.25,163.908,81.5385
39
40,0,-0.0682176,2.09635,-0.0380405,-2548.52,167.053,80.9347
41
42
